SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
0,0,212,2,06D7CF8F,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,1,334,2,059F2110,3,052C0AEB,3,00000000,0,00000000,0,00000000,0,00000000,0,0
0,2,02D,6,000000A5,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,3,071,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,4
0,4,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,5,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,0,14E,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,5
1,1,212,2,0077A822,3,01E3C871,3,00000000,0,00000000,0,00000000,0,00000000,0,2
1,2,0BE,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,3,071,2,060AA698,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
1,4,1CA,2,070EE412,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,5,2FB,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,4
1,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,0,15B,2,041B9849,0,03446272,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,1,0B8,2,02853B02,3,02853B00,3,00000000,0,00000000,0,00000000,0,00000000,0,4
2,2,018,2,069A0336,3,069A0325,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,3,302,2,06AAAD23,3,00BE66F4,3,00000000,0,00000000,0,00000000,0,00000000,0,2
2,4,2FB,2,042F5A57,3,038C920E,3,00000000,0,00000000,0,00000000,0,00000000,0,2
2,5,0E8,2,0343D861,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
