SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
0,0,0DA,3,0001E3FD,2,0001C878,1,0001E404,3,00000000,0,00000000,0,00000000,0,2
0,1,0DE,4,00000A32,3,00000A34,3,00000000,0,00000000,0,00000000,0,00000000,0,1
0,2,097,4,00001238,2,00001B20,0,00001A43,3,00001A46,1,00000000,0,00000000,0,0
0,3,0F6,5,0000011A,2,00000118,3,00000115,2,0000011B,3,00000114,1,00000000,0,1
0,4,12A,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,5,124,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,0,0F5,3,0001E2B3,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,1,0DA,3,0001C866,0,0001120C,0,0001118F,3,00000000,0,00000000,0,00000000,0,1
1,2,0DE,3,0001D9DA,3,0001B5D8,3,0001D715,3,00000000,0,00000000,0,00000000,0,0
1,3,0D6,3,0001B522,3,0001B528,3,0001B52A,3,00000000,0,00000000,0,00000000,0,0
1,4,128,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,5,124,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,0,0D0,3,0001D8FF,1,0001B52A,0,0001B522,0,00000000,0,00000000,0,00000000,0,2
2,1,0DE,3,0001111B,3,0001D7C1,3,0001D7B4,3,00000000,0,00000000,0,00000000,0,1
2,2,0E0,4,000001F4,2,00000431,2,000001EF,3,00000000,0,00000000,0,00000000,0,1
2,3,01E,4,000012FD,2,000012D8,3,000012C1,3,00001560,3,00000000,0,00000000,0,1
2,4,12A,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,5,124,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,6,127,2,00CFEF6F,3,00CFEF67,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,0,0CA,3,00018929,0,000187A0,3,000100D7,3,00000000,0,00000000,0,00000000,0,1
3,1,0DA,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,2,0E0,3,0001A1EF,1,000138AE,2,00000000,0,00000000,0,00000000,0,00000000,0,1
3,3,0F5,4,0000044B,2,0000091A,3,00000923,0,000007A5,3,00000000,0,00000000,0,0
3,4,096,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
3,5,12A,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,6,125,6,000000E0,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,7,124,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
