SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
0,0,3B4,2,073263DA,3,037D506C,3,00000000,0,00000000,0,00000000,0,00000000,0,0
0,1,11C,2,052DEE33,3,06007ADD,0,00000000,0,00000000,0,00000000,0,00000000,0,2
0,2,32D,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,5
0,3,3B0,2,05EA90AF,2,039AB68B,3,00000000,0,00000000,0,00000000,0,00000000,0,0
0,4,111,2,03C2EDC2,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,7
0,5,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,0,295,2,05D48A65,3,05F23073,0,06C3C56F,0,00000000,0,00000000,0,00000000,0,1
1,1,3B4,2,07129A19,3,02910C61,3,00000000,0,00000000,0,00000000,0,00000000,0,1
1,2,3B0,2,05473C89,3,05EA90B2,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,3,10C,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,4,2CF,2,07F99B82,3,018C2740,3,00000000,0,00000000,0,00000000,0,00000000,0,0
1,5,1A9,2,0773D2BB,3,040B65C5,3,00000000,0,00000000,0,00000000,0,00000000,0,1
1,6,1DE,6,00000004,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
