SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
0,0,090,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,1,0DE,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,2,0B5,3,000183B0,3,000183C4,3,0001808F,3,00000000,0,00000000,0,00000000,0,1
0,3,02E,3,00003575,3,00004B23,3,000035B5,3,00000D32,0,00000000,0,00000000,0,3
0,4,097,4,00001B22,1,00001238,3,00001B20,3,00001237,3,00000000,0,00000000,0,0
0,5,0DA,3,0001E3FD,3,0001E404,3,0001A29B,3,00000000,0,00000000,0,00000000,0,2
0,6,0E0,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,7,09B,4,000001BA,2,000001BA,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,8,0AF,3,0001CB8E,0,0001CCB3,0,0001CBB2,2,00000000,0,00000000,0,00000000,0,2
0,9,0E6,3,0001ABB3,2,0001DF15,3,0001DF30,3,00000000,0,00000000,0,00000000,0,1
0,10,0DD,4,000016D4,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
0,11,098,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
0,12,0D7,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,13,0F6,5,0000010F,3,000000D1,1,00000000,0,00000000,0,00000000,0,00000000,0,1
0,14,01E,6,00000072,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,15,333,3,0003E004,2,0003CBCC,3,00000000,0,00000000,0,00000000,0,00000000,0,1
1,0,0F5,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
1,1,0DA,4,00000866,1,00001721,0,00001728,1,00000857,3,00000000,0,00000000,0,0
1,2,0DE,3,0001D9DA,3,0001D9D7,0,0001B5D8,3,00000000,0,00000000,0,00000000,0,0
1,3,0E0,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
1,4,091,3,00017456,3,0001747F,2,00018104,3,00000000,0,00000000,0,00000000,0,1
1,5,32E,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,6,0D6,3,0001B528,3,0001B52C,3,00000000,0,00000000,0,00000000,0,00000000,0,0
1,7,0B3,4,000018F0,2,000018AE,3,00000000,0,00000000,0,00000000,0,00000000,0,1
1,8,0F6,3,00017D0B,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,9,0E9,3,0001DAF9,3,0001B345,3,0001B343,2,00000000,0,00000000,0,00000000,0,0
1,10,0DD,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,11,0D4,3,0001B4A7,3,0001B4AA,3,0001B4A8,3,00000000,0,00000000,0,00000000,0,3
1,12,09B,3,0001CFDE,3,0001CFDE,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,13,0E5,6,00000069,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,5
1,14,08E,3,000115F4,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
1,15,32D,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,0,32D,6,000000AF,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,1,01E,5,000002FD,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,2,090,4,0000125F,3,0000163E,3,00000000,0,00000000,0,00000000,0,00000000,0,3
2,3,0E0,4,00000431,3,000001F4,3,00000428,3,00000428,0,00000000,0,00000000,0,1
2,4,095,3,00010463,2,000130BC,2,000130B8,3,00000000,0,00000000,0,00000000,0,3
2,5,0D0,3,00012F27,3,0001D8FF,3,0001B52C,3,00000000,0,00000000,0,00000000,0,2
2,6,09B,3,0001B473,3,0001CFFC,0,0001E29F,2,00000000,0,00000000,0,00000000,0,2
2,7,0B3,3,00011D8B,0,0001278C,2,000137BE,3,00000000,0,00000000,0,00000000,0,1
2,8,02E,3,0000A87F,2,0000A881,3,0000A885,3,00000000,0,00000000,0,00000000,0,1
2,9,0E6,3,0001B534,2,0001DF30,3,0001E29F,3,00000000,0,00000000,0,00000000,0,1
2,10,092,3,00012628,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
2,11,33E,3,0003FF0D,2,0003FF12,2,00000000,0,00000000,0,00000000,0,00000000,0,1
2,12,0D7,3,0001D5D3,3,00016404,2,0001D8F5,3,00000000,0,00000000,0,00000000,0,1
2,13,0E9,3,0001D729,3,0001DA05,3,00000000,0,00000000,0,00000000,0,00000000,0,0
2,14,0DE,3,0001111B,3,0001D7C1,3,0001D7B3,3,00000000,0,00000000,0,00000000,0,1
2,15,083,3,00010926,3,00010932,3,00000000,0,00000000,0,00000000,0,00000000,0,2
3,0,333,3,0003CE66,3,0003C8CA,3,0003C8CD,3,00000000,0,00000000,0,00000000,0,1
3,1,0DA,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,2,0F3,3,0001B33C,3,000126D7,0,0001E67D,1,00000000,0,00000000,0,00000000,0,0
3,3,0CA,1,1FEDF3CBF,3,00018929,0,000186CD,0,00000000,0,00000000,0,00000000,0,1
3,4,095,3,0001045D,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,5,0E0,3,00013979,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,6,0D9,6,000000A0,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,5
3,7,329,4,00001BC5,2,00001BBC,3,00001144,3,00001BBA,3,00000000,0,00000000,0,2
3,8,0A9,3,0001CF88,3,0001CF7B,1,00000000,0,00000000,0,00000000,0,00000000,0,0
3,9,0D3,3,0001ABA6,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,10,08D,4,0000131F,3,00001316,3,00000000,0,00000000,0,00000000,0,00000000,0,2
3,11,0C8,6,00000097,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,12,096,4,0000123C,3,000019C0,3,000012AC,2,000019B1,1,00017AC7,0,00000000,0,4
3,13,32A,4,00000C16,3,00001D9B,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,14,0F5,3,000187A5,3,0001E3D6,3,00018793,3,000003A5,0,00000000,0,00000000,0,1
3,15,083,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
4,0,0F5,3,0001E2AE,1,0001E3D6,0,0001E3DB,2,00000000,0,00000000,0,00000000,0,3
4,1,0DA,4,00001685,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
4,2,0DE,3,0001B5A0,3,0001B5A3,3,0001B59D,2,00000000,0,00000000,0,00000000,0,1
