SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
0,0,1FC,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,F
0,1,231,2,0258FC6C,3,052C9D60,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,2,0D3,2,07FBD2D0,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,3,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,4,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,5,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,0,3B4,2,07A78324,2,048258BA,2,00000000,0,00000000,0,00000000,0,00000000,0,2
1,1,231,2,06E3FF6B,3,0366E9A6,2,00000000,0,00000000,0,00000000,0,00000000,0,9
1,2,284,2,018A7F1B,3,0762F096,3,00000000,0,00000000,0,00000000,0,00000000,0,3
1,3,2A0,2,0762F099,3,018A7F1D,3,00000000,0,00000000,0,00000000,0,00000000,0,2
1,4,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,5,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
