SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
0,0,1F2,2,0EDD14D0,2,0EDCAF90,2,0EDBE863,0,00000000,0,00000000,0,00000000,0,2
0,1,29F,6,00000062,3,0000005B,3,00000000,0,00000000,0,00000000,0,00000000,0,5
0,2,1EF,5,000001F6,2,000001A4,3,00000244,2,000001F0,2,000001A8,1,00000000,0,1
0,3,031,3,00015F29,3,00002700,3,0000E727,3,00000000,0,00000000,0,00000000,0,0
0,4,2FF,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
0,5,288,2,0EDB767C,0,0EDCC5A4,2,0000C7CA,0,00000000,0,00000000,0,00000000,0,2
0,6,1C0,5,000001F6,3,00000207,3,00000000,0,00000000,0,00000000,0,00000000,0,3
0,7,2AA,2,0EDC99BF,3,0EDB75AC,3,00000000,0,00000000,0,00000000,0,00000000,0,1
0,8,1BB,2,0EDCAFE0,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,4
0,9,289,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,10,2F9,3,0000176A,3,00001711,3,00009D29,3,00000000,0,00000000,0,00000000,0,2
0,11,1C4,4,00001B9A,2,00001C7E,3,00001C83,3,00001BD6,3,00000000,0,00000000,0,0
0,12,28C,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
0,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,0,051,6,00000092,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,1,1DF,2,0EDCB000,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
1,2,1EC,2,0EDD0805,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
1,3,0E6,3,000041CF,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,8
1,4,099,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,4
1,5,0F1,2,0EDD0C9B,3,0EDBE383,3,00000000,0,00000000,0,00000000,0,00000000,0,7
1,6,1FD,2,0EDBD0B3,2,0EDCB84E,3,00000000,0,00000000,0,00000000,0,00000000,0,9
1,7,2A2,2,0EDC27AB,3,0EDBFAB0,3,0EDC27AB,0,00000000,0,00000000,0,00000000,0,1
1,8,0AC,3,0000F7FE,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
1,9,2B3,2,0EDBB4E5,2,0EDC1AB3,3,00000000,0,00000000,0,00000000,0,00000000,0,A
1,10,1C4,6,0000009A,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,11,2FF,6,000000A5,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,12,289,3,0000B045,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
1,13,29F,3,0000817F,0,00008147,3,00000000,0,00000000,0,00000000,0,00000000,0,1
1,14,2AA,2,0EDBC4E4,3,0EDBEF7B,3,00000000,0,00000000,0,00000000,0,00000000,0,3
1,15,1CC,2,0EDCD89F,3,0EDCD8A5,3,00000000,0,00000000,0,00000000,0,00000000,0,3
2,0,32B,3,00037200,0,000371D7,0,0000F4AD,3,00000000,0,00000000,0,00000000,0,3
2,1,09A,3,0000F7C6,2,0000214A,2,00002133,3,00000000,0,00000000,0,00000000,0,0
2,2,0D4,3,000148DD,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
2,3,06D,3,00006006,3,00007A0D,3,00009DFC,3,00000000,0,00000000,0,00000000,0,E
2,4,089,2,0ECCE727,3,0EDF891B,3,00000000,0,00000000,0,00000000,0,00000000,0,0
2,5,2B3,2,0EDBB8A2,3,0EDCDC48,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,6,051,2,0ECC0C0A,3,0EDCE1BF,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,7,288,2,0EDCA907,2,0EDB767C,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,8,2FF,5,00000100,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,9,289,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
2,10,2AC,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,11,251,6,000000D0,2,000000CE,0,000008C5,0,00000804,0,000000E0,0,000000C8,0,1
2,12,044,3,00016AC5,2,00016ACB,2,00000000,0,00000000,0,00000000,0,00000000,0,7
2,13,2AA,2,0EDBC510,0,0EDBC4D4,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,14,1B9,6,0000007C,1,00000037,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,15,1FC,2,0EDCABE9,2,0EDCABE1,3,00000000,0,00000000,0,00000000,0,00000000,0,2
3,0,2F9,3,0000B006,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
3,1,1C2,4,000018F8,3,000018F7,2,000010E2,3,00000000,0,00000000,0,00000000,0,2
3,2,288,2,0EDBF5DD,2,0EDBB456,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,3,1FD,6,000000E3,3,000000AF,3,000000B3,3,00000000,0,00000000,0,00000000,0,1
3,4,099,6,000000D3,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,5,28C,3,0000B03D,3,00008998,3,00008984,3,00000000,0,00000000,0,00000000,0,2
3,6,051,3,000063E2,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
3,7,1B9,4,00001437,3,00001312,3,00000000,0,00000000,0,00000000,0,00000000,0,2
3,8,1EE,4,0000154D,2,0000145B,2,00000000,0,00000000,0,00000000,0,00000000,0,1
3,9,1DF,6,00000084,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
3,10,1B1,4,00000A7A,3,00000A79,3,00000000,0,00000000,0,00000000,0,00000000,0,3
3,11,1F4,6,000000D3,2,0000009E,3,00000000,0,00000000,0,00000000,0,00000000,0,2
3,12,0B1,3,00007ED0,0,0000465E,2,00007ED0,0,000017B2,0,00000000,0,00000000,0,1
3,13,2AA,3,0000AAC7,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,14,04D,6,0000000F,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
3,15,1C4,5,000002C9,3,000003D2,3,000003E1,2,000003EC,3,00000000,0,00000000,0,0
4,0,0B1,3,00004837,2,0000465E,3,00007E6F,3,00000000,0,00000000,0,00000000,0,2
4,1,1EF,5,000001A4,2,000001A8,3,00000000,0,00000000,0,00000000,0,00000000,0,0
4,2,0BF,4,000004F7,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
4,3,2FF,2,0EDBB2B4,3,0EDC1647,3,00000000,0,00000000,0,00000000,0,00000000,0,3
4,4,2FA,2,0EDBC9ED,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
4,5,1FC,6,00000005,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
4,6,1C5,3,0003B11A,2,0003B49B,2,0003F529,1,00000000,0,00000000,0,00000000,0,4
4,7,1C4,4,000010E2,2,00001B0F,3,00001AF3,3,00001AF3,0,00000000,0,00000000,0,0
4,8,32B,3,00037249,2,00010D49,0,00000000,0,00000000,0,00000000,0,00000000,0,2
4,9,1C3,6,0000003C,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
4,10,251,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
4,11,2A5,5,00000314,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
4,12,1B4,2,0EDC975A,2,0EDBAA6B,3,00000000,0,00000000,0,00000000,0,00000000,0,0
4,13,1CC,3,0003C624,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
4,14,284,5,0000015A,3,00000103,3,00000124,3,0000012B,3,00000000,0,00000000,0,6
4,15,2F6,2,0EDBC4E3,3,0EDB8374,3,00000000,0,00000000,0,00000000,0,00000000,0,5
5,0,1C4,4,00001AC9,0,000010E5,3,000010E2,2,000018F7,1,00000000,0,00000000,0,0
5,1,288,2,0EDB767C,3,0EDCC7CD,0,00000000,0,00000000,0,00000000,0,00000000,0,1
5,2,0E5,3,0000C0C5,0,00013BCB,0,00013BCF,3,00000000,0,00000000,0,00000000,0,1
5,3,28C,2,0EDC8998,0,0EDBF9CC,3,00000000,0,00000000,0,00000000,0,00000000,0,1
5,4,0B1,5,000003EA,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
5,5,05C,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
5,6,08C,3,000006BB,3,00000165,3,00000552,3,00000000,0,00000000,0,00000000,0,1
5,7,0B2,5,00000298,1,000003AF,3,0000028D,2,00000000,0,00000000,0,00000000,0,0
5,8,2FA,2,0EDB5CA9,2,0EDFC789,2,00000000,0,00000000,0,00000000,0,00000000,0,1
5,9,05D,6,000000A9,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
5,10,32B,2,0EDBB79E,3,0EDF724B,3,00000000,0,00000000,0,00000000,0,00000000,0,1
5,11,0E9,2,0EDFF40C,3,0E8E4979,3,00000000,0,00000000,0,00000000,0,00000000,0,2
5,12,1B4,2,0EDCE34A,2,0EDCE343,2,00000000,0,00000000,0,00000000,0,00000000,0,0
5,13,011,3,00000552,3,00000740,1,00000743,3,00000000,0,00000000,0,00000000,0,0
5,14,1F2,4,00000856,2,0000079A,1,00000000,0,00000000,0,00000000,0,00000000,0,2
5,15,1FD,2,0EDC1AB8,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
6,0,1E6,3,0003E8B3,3,0003A6BE,2,0003B149,2,00000000,0,00000000,0,00000000,0,4
6,1,1EC,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
6,2,1F4,2,0EDCB84F,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
6,3,251,2,0EDD07B2,3,0EDBB364,3,0003C789,0,00000000,0,00000000,0,00000000,0,5
6,4,29F,2,0EDB8488,3,0EDC815D,3,00000000,0,00000000,0,00000000,0,00000000,0,0
6,5,2A4,6,0000007E,1,00000082,2,00000085,3,00000000,0,00000000,0,00000000,0,1
6,6,1EF,4,00001140,0,00001145,2,000005D4,2,00001A25,3,00000000,0,00000000,0,1
6,7,28C,3,0000AFE3,3,000099BF,3,0000CD37,3,00000000,0,00000000,0,00000000,0,2
6,8,06D,6,0000007C,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
6,9,0E9,2,0E8E49BC,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
6,10,1C4,4,00001B0F,3,0000111D,3,000019D2,1,00000000,0,00000000,0,00000000,0,0
6,11,28E,2,0EDBAAD6,3,0EDCAFE1,3,00000000,0,00000000,0,00000000,0,00000000,0,1
6,12,288,2,0EDBB8F7,1,0EDB767C,3,00000000,0,00000000,0,00000000,0,00000000,0,0
6,13,2FE,3,00001A2D,3,0000CD5A,3,00001A5A,3,00000000,0,00000000,0,00000000,0,3
6,14,284,5,00000156,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,4
6,15,289,2,0EDB75A7,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
7,0,1F2,2,0EDBC79A,2,0EDC1C0B,3,00000000,0,00000000,0,00000000,0,00000000,0,2
7,1,099,3,0001C680,2,0001C6AA,3,0001C6AF,3,00000000,0,00000000,0,00000000,0,B
7,2,28E,2,0EDBAAD2,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
7,3,2E4,2,0EDBACFA,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
7,4,28C,3,0000B0BD,1,0000B134,0,0000B136,0,00000000,0,00000000,0,00000000,0,1
7,5,1EC,5,00000080,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
7,6,1C3,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
7,7,0AC,3,00000552,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
7,8,2FF,2,0EDBDF9C,3,0EDC190F,3,00000000,0,00000000,0,00000000,0,00000000,0,1
7,9,0E9,2,0EDCBA33,3,0ECCAE9F,0,0ECCAE86,0,00000000,0,00000000,0,00000000,0,1
7,10,2AC,5,00000258,2,0000024E,2,00000252,2,00000249,3,000001BC,3,00000000,0,3
7,11,289,3,0000CD5A,3,0000B059,3,00010765,3,00000000,0,00000000,0,00000000,0,1
7,12,1B4,3,0003AFA3,3,0003CE55,2,00000000,0,00000000,0,00000000,0,00000000,0,2
7,13,1EA,6,0000001E,3,00000025,3,00000000,0,00000000,0,00000000,0,00000000,0,1
7,14,2FA,2,0EDBE538,2,0EDBE52E,1,00000000,0,00000000,0,00000000,0,00000000,0,2
7,15,1DF,2,0EDCB00E,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,7
8,0,2FF,3,0000B006,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
8,1,1C3,6,0000003D,2,00000035,2,00000000,0,00000000,0,00000000,0,00000000,0,0
8,2,1FD,2,0EDBCFF7,3,0EDC43BC,3,00000000,0,00000000,0,00000000,0,00000000,0,1
8,3,06D,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
8,4,0F1,3,0000AC89,3,000145DB,3,00000000,0,00000000,0,00000000,0,00000000,0,E
