SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
0,0,152,2,0523DB18,3,0559256E,3,00000000,0,00000000,0,00000000,0,00000000,0,1
0,1,0A2,2,069434B3,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
0,2,1A9,2,01098831,3,00E5A191,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,3,3A1,2,05B54C93,2,0205DF80,3,00000000,0,00000000,0,00000000,0,00000000,0,2
0,4,348,2,01585757,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,5
0,5,224,2,04DBC5ED,3,04DBC5EE,3,00000000,0,00000000,0,00000000,0,00000000,0,2
0,6,112,2,065F1A4F,3,0600D10A,3,00000000,0,00000000,0,00000000,0,00000000,0,1
0,7,18E,2,03EBBF56,3,054DBEDA,3,00000000,0,00000000,0,00000000,0,00000000,0,1
0,8,3B6,2,07E8C9C6,3,07E8C9C3,3,00000000,0,00000000,0,00000000,0,00000000,0,0
0,9,3A7,2,078662E6,3,060C2683,3,00000000,0,00000000,0,00000000,0,00000000,0,5
0,10,1E5,2,023FDA8B,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,11,307,2,01B34FD4,3,0645FD30,3,00000000,0,00000000,0,00000000,0,00000000,0,0
0,12,205,2,0779244A,3,07792457,3,00000000,0,00000000,0,00000000,0,00000000,0,1
0,13,0D3,2,02FBD38D,3,07D9268F,1,00000000,0,00000000,0,00000000,0,00000000,0,1
0,14,085,2,07ADBFA9,2,062AE415,2,00000000,0,00000000,0,00000000,0,00000000,0,3
0,15,2D6,2,060976A7,3,034E5483,3,00000000,0,00000000,0,00000000,0,00000000,0,3
1,0,0A2,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
1,1,17D,2,0270799B,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,2,1A9,2,04149704,3,01FB26CD,3,00000000,0,00000000,0,00000000,0,00000000,0,0
1,3,0B6,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,4,25A,2,010527F8,1,04B58282,0,00000000,0,00000000,0,00000000,0,00000000,0,3
1,5,06B,2,004C0EA2,2,004C0EA2,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,6,3B4,2,0484410E,2,00B657A9,3,00000000,0,00000000,0,00000000,0,00000000,0,2
1,7,15B,2,0777CA36,3,01585745,3,00000000,0,00000000,0,00000000,0,00000000,0,8
1,8,1CA,2,05F010B6,2,00EF6C8A,2,00000000,0,00000000,0,00000000,0,00000000,0,2
1,9,112,2,014B0C0F,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,2
1,10,17F,2,00F139A8,3,03DE591D,3,00000000,0,00000000,0,00000000,0,00000000,0,2
1,11,32C,2,0302BC15,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,C
1,12,397,2,016725F4,3,002528EE,1,00000000,0,00000000,0,00000000,0,00000000,0,0
1,13,345,2,03AD714C,1,05D648DC,3,00000000,0,00000000,0,00000000,0,00000000,0,0
1,14,0DE,2,07825BB9,3,02564294,1,00000000,0,00000000,0,00000000,0,00000000,0,0
1,15,164,2,0505D386,3,02EB44C3,3,00000000,0,00000000,0,00000000,0,00000000,0,4
2,0,0A2,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,1,112,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
2,2,0B6,2,01A353B8,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
2,3,22E,2,06A6BBBF,3,05956F80,2,00000000,0,00000000,0,00000000,0,00000000,0,9
2,4,224,2,0254D0A5,3,04DA50F8,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,5,17D,2,070282C9,2,004FB41E,3,00000000,0,00000000,0,00000000,0,00000000,0,3
2,6,3A4,2,0390B117,2,072C7055,3,00000000,0,00000000,0,00000000,0,00000000,0,2
2,7,32C,2,0302BC05,3,0502ABF3,3,00000000,0,00000000,0,00000000,0,00000000,0,D
2,8,17F,2,07066C2B,3,07066C31,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,9,0B0,2,06249F87,3,06249F91,3,00000000,0,00000000,0,00000000,0,00000000,0,2
2,10,179,2,02F871C0,3,06E0C643,3,00000000,0,00000000,0,00000000,0,00000000,0,3
2,11,2D6,2,05461A46,3,0690E7D6,3,00000000,0,00000000,0,00000000,0,00000000,0,3
2,12,29F,2,015315B7,3,07FB0B6E,3,00000000,0,00000000,0,00000000,0,00000000,0,2
2,13,26F,2,023288BD,3,064D2864,3,00000000,0,00000000,0,00000000,0,00000000,0,1
2,14,164,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
2,15,043,2,03AD3BC0,3,00A16957,3,00000000,0,00000000,0,00000000,0,00000000,0,1
3,0,302,6,000000A1,3,000000A8,3,00000000,0,00000000,0,00000000,0,00000000,0,3
3,1,316,2,00599A00,3,03A57ECD,2,00000000,0,00000000,0,00000000,0,00000000,0,1
3,2,398,2,06C419F2,3,06C419F0,3,00000000,0,00000000,0,00000000,0,00000000,0,A
3,3,3B6,2,05D5D0C8,3,007FE11F,0,00000000,0,00000000,0,00000000,0,00000000,0,1
