SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
0,0,00E,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
0,1,09B,3,0000809C,3,0000A840,3,00001F99,3,00000000,0,00000000,0,00000000,0,2
0,2,1EF,5,000001F6,1,000001A4,1,00000244,2,000001F0,1,000001A8,0,00000000,0,1
0,3,1F2,2,0EDB8488,3,0EDCAEB8,2,00000000,0,00000000,0,00000000,0,00000000,0,2
0,4,29F,6,00000062,3,0000005B,3,000000C5,3,00000000,0,00000000,0,00000000,0,5
0,5,099,6,000000CE,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,6,2B1,6,00000082,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,7,0A8,3,00003E6E,3,00000143,3,0000DB3B,3,00000000,0,00000000,0,00000000,0,5
0,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
0,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,0,00E,3,00014842,2,0000AC8D,3,0000F4BF,3,00000000,0,00000000,0,00000000,0,2
1,1,0A6,3,0000D062,2,0000D063,2,0000D060,2,00000000,0,00000000,0,00000000,0,1
1,2,0BD,3,0000D2B7,1,0000D2B4,3,00018C5B,1,00000000,0,00000000,0,00000000,0,1
1,3,29F,2,0EDBA700,0,0EDC817F,0,00000000,0,00000000,0,00000000,0,00000000,0,1
1,4,0AC,3,0000F7FE,2,0000F800,3,0000F802,2,00000000,0,00000000,0,00000000,0,2
1,5,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
1,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,0,0F2,3,0000D102,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,3
2,1,0B1,5,000003F0,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,2,09A,3,000276FF,3,0000212C,2,0000214A,3,00000000,0,00000000,0,00000000,0,0
2,3,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,4,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,5,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
2,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,0,03D,3,0001400B,3,0000C73C,3,00015004,3,00000000,0,00000000,0,00000000,0,5
3,1,0B1,3,00007ED8,0,0000870A,2,00004837,3,00000000,0,00000000,0,00000000,0,1
3,2,0F7,3,00004564,3,000061F8,3,00000000,0,00000000,0,00000000,0,00000000,0,1
3,3,1EE,4,0000154D,2,0000145B,3,00001540,3,00000129,2,00000000,0,00000000,0,1
3,4,00D,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,6
3,5,2B1,6,00000082,2,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
3,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
