trace,method,IPC,Avg Miss Latency
client_001,asp,1.4753,22.1198
client_001,entangling_asp,1.51303,22.4555
client_001,entangling_entangling,1.50692,21.5846
client_001,entangling_next_line,1.51351,22.037
client_001,entangling_tlb,1.46976,21.7645
client_001,entangling,1.50692,21.5847
client_001,improved_entangling,1.47888,21.6032
client_001,next_line_tlb,1.48196,22.0429
client_001,next_line,1.49017,20.53
client_001,no_instr,1.46976,21.7645
client_001,physical_entangling_asp,1.50771,21.3491
client_001,physical_entangling_entangling,1.50771,21.3491
client_001,physical_entangling_next_line,1.50771,21.3491
client_001,physical_entangling,1.50771,21.3491
client_002,asp,1.65229,16.1684
client_002,entangling_asp,1.73222,13.1791
client_002,entangling_entangling,1.73159,13.2043
client_002,entangling_next_line,1.7329,13.1295
client_002,entangling_tlb,1.6516,16.2733
client_002,entangling,1.7315,13.2273
client_002,improved_entangling,1.71066,13.7813
client_002,next_line_tlb,1.65009,16.1202
client_002,next_line,1.69094,13.7182
client_002,no_instr,1.6515,16.2214
client_002,physical_entangling_asp,1.73375,13.5261
client_002,physical_entangling_entangling,1.73375,13.5261
client_002,physical_entangling_next_line,1.73375,13.5261
client_002,physical_entangling,1.73375,13.5261
client_003,asp,1.51615,21.9969
client_003,entangling_asp,1.59981,16.8653
client_003,entangling_entangling,1.60107,16.8897
client_003,entangling_next_line,1.5995,17.3446
client_003,entangling_tlb,1.5138,22.1646
client_003,entangling,1.60107,16.8897
client_003,improved_entangling,1.57421,18.2297
client_003,next_line_tlb,1.51149,22.2796
client_003,next_line,1.559,18.7114
client_003,no_instr,1.5138,22.1646
client_003,physical_entangling_asp,1.59986,17.0518
client_003,physical_entangling_entangling,1.59986,17.0518
client_003,physical_entangling_next_line,1.59986,17.0518
client_003,physical_entangling,1.59986,17.0518
client_004,asp,1.16242,27.7807
client_004,entangling_asp,1.30967,20.5849
client_004,entangling_entangling,1.30682,20.6283
client_004,entangling_next_line,1.30628,20.6658
client_004,entangling_tlb,1.16196,27.8045
client_004,entangling,1.30757,20.6867
client_004,improved_entangling,1.17418,27.2546
client_004,next_line_tlb,1.16311,27.8148
client_004,next_line,1.25562,21.3189
client_004,no_instr,1.16196,27.8045
client_004,physical_entangling_asp,1.29764,21.5958
client_004,physical_entangling_entangling,1.29764,21.5958
client_004,physical_entangling_next_line,1.29764,21.5958
client_004,physical_entangling,1.29764,21.5958
client_005,asp,1.19582,17.8954
client_005,entangling_asp,1.22657,15.2637
client_005,entangling_entangling,1.22534,15.0923
client_005,entangling_next_line,1.22527,15.1886
client_005,entangling_tlb,1.19817,17.9428
client_005,entangling,1.22543,15.1
client_005,improved_entangling,1.22023,15.5433
client_005,next_line_tlb,1.19806,17.7737
client_005,next_line,1.2088,15.1837
client_005,no_instr,1.19751,17.9075
client_005,physical_entangling_asp,1.22817,15.2731
client_005,physical_entangling_entangling,1.22817,15.2731
client_005,physical_entangling_next_line,1.22817,15.2731
client_005,physical_entangling,1.22817,15.2731
server_001,asp,1.2906,34.6751
server_001,entangling_asp,1.4142,34.6734
server_001,entangling_entangling,1.4152,33.8031
server_001,entangling_next_line,1.41477,34.4821
server_001,entangling_tlb,1.29074,34.6216
server_001,entangling,1.41311,35.2757
server_001,improved_entangling,1.29567,33.9752
server_001,next_line_tlb,1.28322,35.2455
server_001,next_line,1.30876,27.54
server_001,no_instr,1.29074,34.6216
server_001,physical_entangling_asp,1.41766,33.7547
server_001,physical_entangling_entangling,1.41766,33.7547
server_001,physical_entangling_next_line,1.41766,33.7547
server_001,physical_entangling,1.41766,33.7547
server_002,asp,1.33853,11.4006
server_002,entangling_asp,1.34787,11.0921
server_002,entangling_entangling,1.34704,10.8608
server_002,entangling_next_line,1.34843,10.9422
server_002,entangling_tlb,1.33758,11.4097
server_002,entangling,1.34704,10.8608
server_002,improved_entangling,1.33998,11.3249
server_002,next_line_tlb,1.3373,11.4268
server_002,next_line,1.33671,10.9593
server_002,no_instr,1.33758,11.4097
server_002,physical_entangling_asp,1.34744,11.3324
server_002,physical_entangling_entangling,1.34744,11.3324
server_002,physical_entangling_next_line,1.34744,11.3324
server_002,physical_entangling,1.34744,11.3324
server_003,asp,1.18324,24.2504
server_003,entangling_asp,1.38599,21.3555
server_003,entangling_entangling,1.38531,21.3075
server_003,entangling_next_line,1.38502,21.4943
server_003,entangling_tlb,1.17722,24.5194
server_003,entangling,1.38332,21.4652
server_003,improved_entangling,1.18882,24.1943
server_003,next_line_tlb,1.17789,24.5071
server_003,next_line,1.27671,21.2257
server_003,no_instr,1.17722,24.5194
server_003,physical_entangling_asp,1.38265,21.6301
server_003,physical_entangling_entangling,1.38265,21.6301
server_003,physical_entangling_next_line,1.38265,21.6301
server_003,physical_entangling,1.38265,21.6301
server_004,asp,0.816969,23.662
server_004,entangling_asp,0.918687,20.0947
server_004,entangling_entangling,0.918322,20.1439
server_004,entangling_next_line,0.913617,20.6749
server_004,entangling_tlb,0.816853,23.6883
server_004,entangling,0.918321,20.1439
server_004,improved_entangling,0.822549,23.4574
server_004,next_line_tlb,0.808116,24.6881
server_004,next_line,0.842691,21.5112
server_004,no_instr,0.816853,23.6883
server_004,physical_entangling_asp,0.918132,20.5087
server_004,physical_entangling_entangling,0.918132,20.5087
server_004,physical_entangling_next_line,0.918132,20.5087
server_004,physical_entangling,0.918132,20.5087
